ID,Sex,SexPref,Age,Country_Res,Country_Born,HPP_9,GDP,GINI,SexRatio.2017est.,SexRatio.15.54.,UNRegion,RelStatus,RelLength,RelY,RelM,Ethnicity,SRA,SRM,SRH,SRA_Partner,SRM_Partner,SRH_Partner,Hug_Freq,Sex_Freq,Hug_Satis,Sex_Satis,GK_Breath,GK_Scent,GK_Taste,GK_Wet,GK_Contact,GK_Arous,GK_SynchStyle,prec_mean_anual_Res,snow_cover_days_Res,t_mean_Res,t_mean_coldest_month_Res,t_mean_warmest_month_Res,prec_mean_anual_Born,snow_cover_days_Born,t_mean_Born,t_mean_coldest_month_Born,t_mean_warmest_month_Born,Kiss_index
6089360076,2,1.0,42.0,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,-1.063333333,43600.0,32.4,0.99,1.04,5.0,1.0,23.17,23.0,2.0,White ,4.0,2.0,4.0,4.0,4.0,4.0,70.0,60.0,61.0,87.0,100.0,85.0,88.0,30.0,100.0,80.0,33.0,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.917
6180369987,2,1.0,28.0,Germany,Germany,-0.87,50200.0,27.0,0.97,1.03,5.0,1.0,5.67,5.0,8.0,kaukasisch,5.0,5.0,4.0,6.0,3.0,6.0,92.0,51.0,78.0,82.0,90.0,89.0,59.0,90.0,65.0,66.0,96.0,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,0.078
6157791024,2,3.0,22.0,Germany,Germany,-0.87,50200.0,27.0,0.97,1.03,5.0,1.0,0.67,0.0,8.0,europõisch ,4.0,3.0,5.0,6.0,1.0,6.0,65.0,55.0,80.0,40.0,53.0,84.0,95.0,67.0,88.0,50.0,63.0,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,1.0
6179681318,2,1.0,23.0,Germany,Germany,-0.87,50200.0,27.0,0.97,1.03,5.0,1.0,5.33,5.0,4.0,deutsch,6.0,2.0,6.0,5.0,6.0,6.0,100.0,92.0,100.0,100.0,100.0,100.0,100.0,68.0,100.0,92.0,100.0,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,0.757
6089103661,2,1.0,32.0,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,-1.063333333,43600.0,32.4,0.99,1.04,5.0,1.0,4.5,4.0,6.0,White,4.0,2.0,2.0,5.0,6.0,4.0,80.0,50.0,50.0,50.0,100.0,100.0,51.0,100.0,100.0,67.0,85.0,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.177
6089082639,1,2.0,49.0,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,-1.063333333,43600.0,32.4,0.99,1.04,5.0,1.0,5.17,5.0,2.0,White,4.0,5.0,4.0,5.0,2.0,5.0,75.0,66.0,64.0,59.0,100.0,89.0,89.0,57.0,81.0,88.0,68.0,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.43
6131237517,2,1.0,24.0,Poland,Poland,-0.87,29300.0,30.8,0.94,1.035,3.0,1.0,0.33,0.0,4.0,Kaukazoidalne,4.0,2.0,4.0,6.0,6.0,4.0,57.0,78.0,83.0,67.0,77.0,85.0,70.0,39.0,86.0,90.0,53.0,644.540301709072,103.163715653424,8.30881539785745,-4.30214231129271,22.6670013655115,644.540301709072,103.163715653424,8.30881539785745,-4.30214231129271,22.6670013655115,0.683
6102836125,2,1.0,22.0,Colombia,Colombia,0.27,14500.0,53.5,0.98,1.01,4.0,1.0,2.0,1.0,12.0,India,4.0,3.0,4.0,6.0,5.0,6.0,50.0,50.0,100.0,60.0,100.0,100.0,100.0,50.0,30.0,100.0,20.0,3112.51932995326,0.0158684486685676,23.6307114726742,19.6953702585061,28.7649583538837,3112.51932995326,0.0158684486685676,23.6307114726742,19.6953702585061,28.7649583538837,0.997
6089812538,1,2.0,39.0,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,-1.063333333,43600.0,32.4,0.99,1.04,5.0,1.0,0.92,0.0,11.0,White Scottish,2.0,1.0,6.0,6.0,2.0,6.0,59.0,100.0,100.0,100.0,60.0,76.0,66.0,70.0,70.0,72.0,39.0,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.722
6181117196,2,1.0,23.0,Germany,Germany,-0.87,50200.0,27.0,0.97,1.03,5.0,1.0,0.25,0.0,3.0,kaukasisch,5.0,2.0,6.0,4.0,4.0,4.0,95.0,78.0,98.0,82.0,95.0,83.0,90.0,92.0,83.0,73.0,93.0,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,0.507
